Oct,Nov,Dec,Jan,Feb
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
100,108,105,102,110
